chip_id,detector,source_detector,grid_id,pred_idx,iou_to_gt,area_m2,human_label
v3c_G0923_p0125,v3c,both,G0923,125,0.0,18.535,
v3c_G0923_p0126,v3c,both,G0923,126,0.0,15.429,
v3c_G0923_p0141,v3c,both,G0923,141,0.0,5.833,
v3c_G0923_p0151,v3c,both,G0923,151,0.0,6.61,
v3c_G0923_p0153,v3c,both,G0923,153,0.0,26.139,
v3c_G0923_p0154,v3c,both,G0923,154,0.0,31.793,
v3c_G0923_p0172,v3c,both,G0923,172,0.0,32.749,
v3c_G0923_p0187,v3c,both,G0923,187,0.0,23.252,
v3c_G0924_p0003,v3c,both,G0924,3,0.0,22.398,
v3c_G0924_p0010,v3c,both,G0924,10,0.0,24.647,
v3c_G0924_p0014,v3c,both,G0924,14,0.0,21.562,
v3c_G0924_p0020,v3c,both,G0924,20,0.0,47.504,
v3c_G0924_p0032,v3c,both,G0924,32,0.0,26.817,
v3c_G0924_p0052,v3c,both,G0924,52,0.0,96.4,
v3c_G0924_p0053,v3c,both,G0924,53,0.0,51.405,
v3c_G0924_p0055,v3c,both,G0924,55,0.0,28.987,
v3c_G0924_p0065,v3c,both,G0924,65,0.075,437.468,
v3c_G0924_p0080,v3c,both,G0924,80,0.0,63.765,
v3c_G0924_p0095,v3c,both,G0924,95,0.0,22.436,
v3c_G0925_p0004,v3c,both,G0925,4,0.0,17.082,
v3c_G0925_p0005,v3c,both,G0925,5,0.0,15.629,
v3c_G0925_p0006,v3c,both,G0925,6,0.0,16.047,
v3c_G0925_p0007,v3c,both,G0925,7,0.0,163.394,
v3c_G0925_p0008,v3c,both,G0925,8,0.0,20.267,
v3c_G0925_p0009,v3c,both,G0925,9,0.0,81.845,
v3c_G0925_p0010,v3c,both,G0925,10,0.0,82.163,
v3c_G0925_p0011,v3c,both,G0925,11,0.0,66.755,
v3c_G0925_p0012,v3c,both,G0925,12,0.0,66.396,
v3c_G0925_p0029,v3c,both,G0925,29,0.0,306.089,
v3c_G0926_p0000,v3c,both,G0926,0,0.0,94.331,
v3c_G0926_p0001,v3c,both,G0926,1,0.0,425.465,
v3c_G0926_p0002,v3c,both,G0926,2,0.0,11.229,
v3c_G0926_p0004,v3c,both,G0926,4,0.0,61.739,
v3c_G0926_p0009,v3c,both,G0926,9,0.0,97.538,
v3c_G0926_p0011,v3c,both,G0926,11,0.0,21.005,
v3c_G0926_p0012,v3c,both,G0926,12,0.0,43.283,
v3c_G0926_p0026,v3c,both,G0926,26,0.0,25.762,
v3c_G0926_p0030,v3c,both,G0926,30,0.0,81.625,
v3c_G0926_p0032,v3c,both,G0926,32,0.0,44.734,
v3c_G0926_p0033,v3c,both,G0926,33,0.0,37.328,
v3c_G0926_p0034,v3c,both,G0926,34,0.0,26.598,
